original,disfluent,generated_text
Why might customers order from internet pharmacies?,Why might customers say umm order online or umm from internet pharmacies?,Why might customers order from internet pharmacies?
How are the client and subcontractor linked?,What are three instead uh how are the client and subcontractor linked?,How are the client and subcontractor linked?
How was Tymnet connected to dozens of other private networks?,How was the public network business allowed oh uh Tymnet connected to dozens of other private networks?,How was Tymnet connected to dozens of other private networks?
What type of number generators make use of prime numbers?,#VALUE!,What is the name of the Apple system? 
On-line betting was supported by what network frame?,"On-line betting was supported by what applications, no sorry meant to say, network frame?",On-line betting was supported by what network frame?
How far does one pharmacy in Croatia date back to?,How far does one pharmacy in Estonia or rather in Croatia date back to?,How far does one pharmacy in Croatia date back to
What helps the interior designers during integration?,What helps the interior designers during construction no integration?,What helps the interior designers during integration?
University of Chicago scholars played a major part in what development?,a major part was played by University of Chicago scholars in what development?,University of Chicago scholars played a major part in what development?
Who thought the world could be split into climatic zones?,Why did no who thought the world could be split into climatic zones?,Who thought the world could be split into climatic zones?
What group fully funds preschool?,How is preschool no wait What group fully funds preschool?,What group fully funds preschool?
What is the lower thermal boundary layer called?,Where is the or no make that what is the lower thermal boundary layer called?,What is the lower thermal boundary layer called?
What is considered less fundamental than the concept of force?,How are the particle forces no what is considered less fundamental than the concept of force?,What is considered less fundamental than the concept of force?
What will have a direct impact of inequality in a system that uses a progressive tax?,How no sorry I mean what will have a direct impact of inequality in a system that uses a progressive tax?,What will have a direct impact of inequality in a system that uses a progressive tax?
